Id,logDate,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
6117666160,05/09/2016,1,492,522
6775888955,04/13/2016,1,235,260
6775888955,04/14/2016,1,423,441
6775888955,04/15/2016,1,391,406
6962181067,04/12/2016,1,366,387
6962181067,04/13/2016,3,630,679
6962181067,04/14/2016,2,508,535
6962181067,04/15/2016,1,370,386
6962181067,04/16/2016,1,357,366
6962181067,04/17/2016,1,427,446
6962181067,04/18/2016,1,442,458
6962181067,04/19/2016,1,476,535
6962181067,04/20/2016,1,418,424
6962181067,04/21/2016,1,451,457
6962181067,04/22/2016,1,425,435
6962181067,04/23/2016,1,528,546
6962181067,04/24/2016,1,511,514
6962181067,04/25/2016,1,400,415
6962181067,04/26/2016,1,441,446
6962181067,04/27/2016,1,455,467
6962181067,04/28/2016,1,440,453
6962181067,04/29/2016,1,433,447
6962181067,04/30/2016,1,422,424
6962181067,05/01/2016,1,411,426
6962181067,05/02/2016,1,466,482
6962181067,05/03/2016,1,394,418
6962181067,05/04/2016,1,442,455
6962181067,05/05/2016,1,467,491
6962181067,05/06/2016,1,443,462
6962181067,05/07/2016,1,298,334
6962181067,05/08/2016,1,541,569
6962181067,05/09/2016,1,489,497
6962181067,05/10/2016,1,469,481
6962181067,05/11/2016,1,452,480
6962181067,05/12/2016,1,516,535
7007744171,04/16/2016,1,79,82
7007744171,05/01/2016,1,58,61
7086361926,04/12/2016,1,514,525
7086361926,04/13/2016,1,451,465
7086361926,04/14/2016,1,472,476
7086361926,04/15/2016,1,377,386
7086361926,04/19/2016,1,472,483
7086361926,04/20/2016,1,492,502
7086361926,04/21/2016,1,390,411
7086361926,04/22/2016,1,428,448
7086361926,04/24/2016,1,681,704
7086361926,04/25/2016,1,446,447
7086361926,04/26/2016,1,485,500
7086361926,04/27/2016,1,469,479
7086361926,04/28/2016,1,354,367
7086361926,04/30/2016,1,485,489
7086361926,05/01/2016,1,388,407
7086361926,05/02/2016,1,440,459
7086361926,05/03/2016,1,456,461
7086361926,05/04/2016,1,420,436
7086361926,05/06/2016,1,322,333
7086361926,05/07/2016,1,530,548
7086361926,05/08/2016,1,481,510
7086361926,05/09/2016,1,427,438
7086361926,05/11/2016,1,451,463
7086361926,05/12/2016,1,444,457
8053475328,04/20/2016,1,486,493
8053475328,04/23/2016,1,331,337
8053475328,05/07/2016,1,74,75
8378563200,04/12/2016,1,338,356
8378563200,04/13/2016,2,447,487
8378563200,04/14/2016,1,424,455
8378563200,04/15/2016,1,513,533
8378563200,04/16/2016,2,611,689
8378563200,04/17/2016,2,525,591
8378563200,04/18/2016,1,398,451
8378563200,04/19/2016,1,387,421
8378563200,04/20/2016,1,381,409
8378563200,04/21/2016,1,396,417
8378563200,04/22/2016,1,441,469
8378563200,04/23/2016,1,565,591
8378563200,04/24/2016,1,458,492
8378563200,04/25/2016,1,388,402
8378563200,04/25/2016,1,388,402
8378563200,04/26/2016,1,550,584
8378563200,04/27/2016,1,531,600
8378563200,04/28/2016,1,506,556
8378563200,04/29/2016,1,527,562
8378563200,04/30/2016,1,468,555
8378563200,05/01/2016,1,475,539
8378563200,05/02/2016,1,351,385
8378563200,05/03/2016,1,405,429
8378563200,05/04/2016,1,441,477
8378563200,05/05/2016,1,381,417
8378563200,05/06/2016,1,323,355
8378563200,05/07/2016,2,459,513
8378563200,05/08/2016,1,545,606
8378563200,05/09/2016,1,359,399
8378563200,05/10/2016,1,342,391
8378563200,05/11/2016,1,368,387
8378563200,05/12/2016,1,496,546
8792009665,04/12/2016,1,458,493
